feature,mae
HDD,0.2312978597920702
Pre,0.2337281617700414
CDD,0.23981199565396172
SPEI,0.24168668224001258
Tmax,0.25976528601731874
GDD,0.2809189135552181
PH_WATER,0.30803012529549656
wind_speed,0.32111789335106944
Solar,0.32406973937742306
CEC_SOIL,0.33123323311270547
SAND,0.3345808466025717
lat,0.35028922155157405
SILT,0.3556216994453261
year,0.35612982278250355
KNDVI,0.40049757670545155
elevation,0.41858344430573335
lon,0.48247970336296714
