,predicts,records,year
286,2524.1729,2356.390121,2018
287,2955.6387,3353.721439,2018
288,2214.5417,2462.977633,2018
289,2126.9255,2742.929583,2018
290,2318.144,3074.652536,2018
291,2522.3228,3220.112586,2018
292,2882.4543,2794.587592,2018
293,2787.822,3255.822515,2018
294,3099.0852,3492.430057,2018
295,2946.6482,3293.960381,2018
296,2986.482,2965.511434,2018
