predicts,records,year,idJoin,hist,forecastData
2342.3,2765.786714,2018,IND_100,2003,leadweek_2
2630.041,2327.087636,2018,IND_101,2003,leadweek_2
2682.643,2490.202775,2018,IND_102,2003,leadweek_2
2659.5457,3148.546584,2018,IND_103,2003,leadweek_2
2724.8333,3618.289821,2018,IND_104,2003,leadweek_2
3177.4346,3135.030993,2018,IND_105,2003,leadweek_2
2971.4788,2900.503167,2018,IND_106,2003,leadweek_2
3061.3638,2810.33657,2018,IND_107,2003,leadweek_2
2942.8328,3612.2003,2018,IND_108,2003,leadweek_2
2748.281,2292.767568,2018,IND_109,2003,leadweek_2
2766.2207,2400.585295,2018,IND_110,2003,leadweek_2
2647.084,2177.159914,2018,IND_111,2003,leadweek_2
2917.3926,2462.082912,2018,IND_112,2003,leadweek_2
2617.414,2523.357841,2018,IND_114,2003,leadweek_2
4168.0605,4699.6337,2018,IND_115,2003,leadweek_2
2036.5796,1722.115997,2018,IND_116,2003,leadweek_2
1316.6348,1542.995382,2018,IND_125,2003,leadweek_2
1470.5918,1023.2324680000002,2018,IND_130,2003,leadweek_2
1280.0286,1376.933896,2018,IND_133,2003,leadweek_2
1753.1405,1515.890613,2018,IND_137,2003,leadweek_2
1163.55,749.9999999999998,2018,IND_14,2003,leadweek_2
3001.4062,2000.0,2018,IND_143,2003,leadweek_2
1785.4796,1180.069068,2018,IND_145,2003,leadweek_2
2906.483,3031.051031,2018,IND_159,2003,leadweek_2
3200.4473,2695.377587,2018,IND_160,2003,leadweek_2
3133.0183,3326.961397,2018,IND_161,2003,leadweek_2
3238.732,3485.665311,2018,IND_162,2003,leadweek_2
2426.6626,2155.833289,2018,IND_163,2003,leadweek_2
1783.6948,1915.171419,2018,IND_164,2003,leadweek_2
1829.3463,2447.401892,2018,IND_165,2003,leadweek_2
2413.172,2668.110315,2018,IND_166,2003,leadweek_2
2965.731,3418.505338,2018,IND_168,2003,leadweek_2
2439.8186,2823.813355,2018,IND_169,2003,leadweek_2
4244.267,4960.0,2018,IND_17,2003,leadweek_2
2702.5083,2364.102564,2018,IND_171,2003,leadweek_2
3325.3682,3252.522415,2018,IND_177,2003,leadweek_2
2699.8315,2897.125709,2018,IND_178,2003,leadweek_2
2825.06,3064.669771,2018,IND_179,2003,leadweek_2
2867.6243,3642.685851,2018,IND_180,2003,leadweek_2
2710.8232,2836.984608,2018,IND_181,2003,leadweek_2
2768.3542,3018.712955,2018,IND_182,2003,leadweek_2
3291.0725,3824.471552,2018,IND_184,2003,leadweek_2
2792.5251,3677.951636,2018,IND_185,2003,leadweek_2
4506.782,4654.425612,2018,IND_189,2003,leadweek_2
4037.6055,4453.333333,2018,IND_191,2003,leadweek_2
4553.8525,4266.802444,2018,IND_192,2003,leadweek_2
4421.368,4898.047722,2018,IND_193,2003,leadweek_2
4118.9697,4549.145299,2018,IND_195,2003,leadweek_2
4147.078,4783.146067,2018,IND_197,2003,leadweek_2
4547.1025,4821.492007,2018,IND_198,2003,leadweek_2
4953.5596,4832.373272,2018,IND_199,2003,leadweek_2
4646.247,5061.632238,2018,IND_200,2003,leadweek_2
4704.994,4923.295455,2018,IND_201,2003,leadweek_2
4678.2446,5046.694406,2018,IND_202,2003,leadweek_2
4668.4067,5383.634431,2018,IND_203,2003,leadweek_2
4596.0444,4914.69406,2018,IND_204,2003,leadweek_2
4634.9287,5185.053381,2018,IND_205,2003,leadweek_2
4563.3066,5069.944598,2018,IND_206,2003,leadweek_2
4331.5107,4324.531516,2018,IND_207,2003,leadweek_2
4333.613,4626.436782,2018,IND_208,2003,leadweek_2
3967.032,3738.888889,2018,IND_209,2003,leadweek_2
4237.7725,4651.376147,2018,IND_210,2003,leadweek_2
2670.9985,2199.578477,2018,IND_213,2003,leadweek_2
1834.3002,1309.641742,2018,IND_217,2003,leadweek_2
1824.3816,1242.822314,2018,IND_219,2003,leadweek_2
2090.9043,1192.887089,2018,IND_220,2003,leadweek_2
2086.8406,2769.124472,2018,IND_239,2003,leadweek_2
2343.5586,2183.716034,2018,IND_240,2003,leadweek_2
1897.4869,2163.817713,2018,IND_242,2003,leadweek_2
1809.0813,1710.028702,2018,IND_245,2003,leadweek_2
2262.4866,2320.003305,2018,IND_246,2003,leadweek_2
2738.318,2150.03522,2018,IND_247,2003,leadweek_2
2194.9133,2200.0,2018,IND_251,2003,leadweek_2
2152.2832,2100.0,2018,IND_253,2003,leadweek_2
2302.19,1557.154675,2018,IND_267,2003,leadweek_2
1128.5621,1514.294345,2018,IND_271,2003,leadweek_2
1131.9432,800.0,2018,IND_272,2003,leadweek_2
1194.5189,805.6265985,2018,IND_274,2003,leadweek_2
1030.7058,536.7197062,2018,IND_275,2003,leadweek_2
1125.8687,1317.869416,2018,IND_277,2003,leadweek_2
1043.1345,1132.653061,2018,IND_282,2003,leadweek_2
1088.9083,983.2471427,2018,IND_298,2003,leadweek_2
3953.2554,4264.020619,2018,IND_317,2003,leadweek_2
3790.098,4222.01087,2018,IND_318,2003,leadweek_2
3914.666,3804.0,2018,IND_319,2003,leadweek_2
3938.9324,3943.953488,2018,IND_320,2003,leadweek_2
3045.808,2823.016905,2018,IND_321,2003,leadweek_2
2746.6824,2500.977467,2018,IND_322,2003,leadweek_2
3384.6575,3913.959391,2018,IND_323,2003,leadweek_2
3107.0698,2880.011521,2018,IND_324,2003,leadweek_2
3065.8918,3433.992347,2018,IND_325,2003,leadweek_2
3455.738,3708.007117,2018,IND_326,2003,leadweek_2
3257.7744,3272.017293,2018,IND_327,2003,leadweek_2
3866.3455,4242.989571,2018,IND_328,2003,leadweek_2
2823.4487,2649.104859,2018,IND_329,2003,leadweek_2
2597.6265,2592.982456,2018,IND_330,2003,leadweek_2
2657.6726,3212.985612,2018,IND_331,2003,leadweek_2
2810.376,3500.0,2018,IND_332,2003,leadweek_2
2812.421,3604.010025,2018,IND_333,2003,leadweek_2
3044.4927,3900.0,2018,IND_334,2003,leadweek_2
3005.782,3485.0,2018,IND_335,2003,leadweek_2
2458.0745,2182.165163,2018,IND_336,2003,leadweek_2
2842.236,3016.029116,2018,IND_337,2003,leadweek_2
2200.2688,2374.910223,2018,IND_338,2003,leadweek_2
3389.7322,3579.981884,2018,IND_339,2003,leadweek_2
3334.778,2920.0,2018,IND_340,2003,leadweek_2
3561.2224,4242.021759,2018,IND_341,2003,leadweek_2
3464.5955,3277.98583,2018,IND_342,2003,leadweek_2
3751.836,3528.014184,2018,IND_343,2003,leadweek_2
3913.5479,3775.005829,2018,IND_344,2003,leadweek_2
3504.027,4100.023397,2018,IND_345,2003,leadweek_2
1869.2887,3643.884892,2018,IND_346,2003,leadweek_2
1649.5244,2965.932203,2018,IND_347,2003,leadweek_2
3156.9023,3485.978261,2018,IND_349,2003,leadweek_2
3187.4854,3482.97883,2018,IND_350,2003,leadweek_2
3925.5942,4213.043478,2018,IND_351,2003,leadweek_2
3034.9192,2636.956522,2018,IND_352,2003,leadweek_2
4169.0,4307.991361,2018,IND_353,2003,leadweek_2
3570.1958,2610.003986,2018,IND_354,2003,leadweek_2
2163.8079,2356.923077,2018,IND_355,2003,leadweek_2
3214.083,3420.994475,2018,IND_356,2003,leadweek_2
4205.0674,3982.033898,2018,IND_357,2003,leadweek_2
2367.9807,3550.0,2018,IND_361,2003,leadweek_2
3478.6738,3302.980132,2018,IND_363,2003,leadweek_2
2246.1162,2418.972107,2018,IND_364,2003,leadweek_2
2745.6025,2706.003342,2018,IND_365,2003,leadweek_2
2868.703,2661.97318,2018,IND_366,2003,leadweek_2
2307.6877,1907.319559,2018,IND_370,2003,leadweek_2
2075.1206,1015.625,2018,IND_378,2003,leadweek_2
1614.9644,2224.310777,2018,IND_380,2003,leadweek_2
1519.5642,1807.652197,2018,IND_400,2003,leadweek_2
2170.1184,900.0,2018,IND_451,2003,leadweek_2
2530.3184,1994.117647,2018,IND_452,2003,leadweek_2
2536.66,2580.0,2018,IND_469,2003,leadweek_2
4478.2363,4735.135135,2018,IND_484,2003,leadweek_2
3998.729,4335.664336,2018,IND_485,2003,leadweek_2
4588.237,4867.724868,2018,IND_486,2003,leadweek_2
4414.552,5064.705882,2018,IND_487,2003,leadweek_2
4618.2812,4682.795699,2018,IND_488,2003,leadweek_2
4604.2764,4865.671642,2018,IND_489,2003,leadweek_2
4735.3574,5000.0,2018,IND_490,2003,leadweek_2
