,0
CDD,0.0040773777945009165
Pre,0.0026964500820681704
wind_speed,0.006873983548133876
KNDVI,0.014307742914124304
Tmax,0.003798982307275537
GDD,0.006416721246500627
HDD,0.0038175337603737042
SPEI,0.00303909457842946
Solar,0.009585584007540638
SILT,0.02024993676797874
elevation,0.009474172565030817
lat,0.009843635312826417
lon,0.01393310984263485
year,0.007426005076030847
SAND,0.008469369124419987
CEC_SOIL,0.007235896050427393
PH_WATER,0.008876734237743135
