forecastData,hist,MAPE,ACC,R2,RRMSE
leadweek_1,1988,0.12459417664402768,0.9233513432705373,0.8242878707893043,13.597606877350394
leadweek_1,2017,0.12445425132897402,0.9232544578290318,0.8238585374030991,13.61420887548635
leadweek_1,2015,0.1242105032280361,0.9234300620840274,0.8252774827301507,13.559261902801397
leadweek_1,2014,0.12412077866006967,0.923042273438147,0.8246597562681651,13.583209945873648
leadweek_1,2013,0.12432004302912551,0.9232355400168276,0.8240578268036078,13.606505023847943
leadweek_1,2012,0.12429813555462604,0.9233100508414799,0.8249041331684407,13.573740984062955
leadweek_1,2011,0.12415469353473048,0.9234617507997778,0.824568208331865,13.586755488357346
leadweek_1,2010,0.12445212908703195,0.923584953037634,0.8243114162107845,13.596695807316097
leadweek_1,2009,0.12433541486657107,0.9232206720335514,0.8240151386457613,13.608155570150721
leadweek_1,2008,0.1242409060058241,0.9233492797450956,0.8244759946965888,13.590325877468764
leadweek_1,2007,0.12415006740887159,0.9232170746203902,0.8247190464390607,13.580913214346369
leadweek_1,2006,0.12423048539617815,0.9233185596195485,0.8236333811660326,13.622907409732596
leadweek_1,2005,0.1243078772626598,0.9231397881218762,0.8245072109552749,13.589117330548127
leadweek_1,2004,0.12405065043099411,0.9234043060293112,0.8250462417365625,13.568231612328088
leadweek_1,2003,0.12431787794578329,0.9234433946070432,0.8248473933427154,13.57594009169574
leadweek_1,2016,0.12419229156034473,0.923622437175887,0.8245597243781129,13.587084014933183
leadweek_1,2001,0.12442972283219553,0.9233466635787615,0.8237241046438897,13.619403128345184
leadweek_1,2002,0.12442428711451711,0.9232571578189527,0.8234786765693738,13.628880944987385
leadweek_1,1990,0.12420793306558492,0.9233651431023038,0.8241432621603143,13.603201046909149
leadweek_1,1991,0.12415055378802667,0.923162250421754,0.8250955963033985,13.566317673940212
leadweek_1,1992,0.12433680823617044,0.9233297699264102,0.8236181017010884,13.623497505039484
leadweek_1,1993,0.12423976754806874,0.9235286755170354,0.8242764980507936,13.598046913920186
leadweek_1,1994,0.12434061285225712,0.9231950863827615,0.8249493659230959,13.57198760928506
leadweek_1,1989,0.12418979146432939,0.9232901222603275,0.824622528223494,13.584651855322303
leadweek_1,1996,0.1243692217394202,0.9233369032437968,0.8248012326946872,13.577728911515106
leadweek_1,1997,0.12429147226860389,0.9234626207491019,0.8243046895253285,13.596956096910699
leadweek_1,1998,0.124526937764302,0.9233283067788599,0.8244233972816287,13.59236195927443
leadweek_1,1999,0.12412272218703735,0.9235177689270173,0.8244501938903184,13.59132468239006
leadweek_1,2000,0.12437899687220359,0.9234434304978458,0.8237676228560997,13.617721875615956
leadweek_1,1995,0.124536217914025,0.9230479881830114,0.8244724778266515,13.590462027418809
leadweek_2,2005,0.12713849519560427,0.9231179843444026,0.8237978018576795,13.616555838896929
leadweek_2,2006,0.12745234417037254,0.9232839182200241,0.8205014402953572,13.743333787751972
leadweek_2,2007,0.12738660534204413,0.9233800397394517,0.8223820894900156,13.67114812132899
leadweek_2,2008,0.12791821995604238,0.9232709404777946,0.8198292461094547,13.769043064593903
leadweek_2,2009,0.12711510158247438,0.923143488147984,0.823144635990894,13.641770174008514
leadweek_2,2011,0.12751648451495076,0.9234905521464896,0.8220931479342043,13.682263435125561
leadweek_2,2012,0.12758901700256364,0.9226027496338753,0.8230242011002952,13.64641426693684
leadweek_2,2013,0.12734137172865906,0.9230445080803563,0.8230628393939832,13.644924506901921
leadweek_2,2014,0.12708718084657133,0.9225590341715386,0.8240112304448968,13.608306671528672
leadweek_2,2004,0.12742421085451575,0.923455950986808,0.8218262686393033,13.692522018162462
leadweek_2,2015,0.12701686011433908,0.9235422367723715,0.8240914025077308,13.605206671735676
leadweek_2,2010,0.12796558363684224,0.9232870421869853,0.8212195926268903,13.71581351405953
leadweek_2,2003,0.12725678195185314,0.923709273708473,0.8235668266226172,13.625477569745847
leadweek_2,1996,0.12806496323529343,0.9227050491979051,0.8212156467926867,13.715964873003927
leadweek_2,2001,0.12757248096656243,0.9233537023605862,0.8208122790830269,13.731428922696834
leadweek_2,2000,0.12844674696893,0.9228710969525925,0.8180906207655612,13.83531833710222
leadweek_2,1999,0.12773355488909682,0.9232396051778353,0.8203021310581908,13.750961741502524
leadweek_2,1998,0.12783710275784407,0.9228595554293159,0.8219851292183685,13.686416496794273
leadweek_2,1997,0.1267800021764104,0.9236119983922351,0.8248851681711894,13.57447606420763
leadweek_2,1995,0.12854525906591713,0.9223344604167514,0.8198814097056155,13.767049692248696
leadweek_2,1994,0.12768911932859353,0.9228492999831109,0.8223790243502258,13.6712660818409
leadweek_2,1993,0.12688279761973031,0.923299467753711,0.8232898158208046,13.636169788349802
leadweek_2,1992,0.12678398970907043,0.9234136395936446,0.8234472758367052,13.630093086978453
leadweek_2,1991,0.12740625899583494,0.9229992192807539,0.8231226558120017,13.642617870188229
leadweek_2,1990,0.12715640891312585,0.9236118715271038,0.8219011454383265,13.689644601978209
leadweek_2,2016,0.1273522453877488,0.9237945932827079,0.8223342837913927,13.672987786075547
leadweek_2,2002,0.12685261390420915,0.9238462308500769,0.8241137966414729,13.604340635284034
leadweek_2,2017,0.1274017731504164,0.9231832242306421,0.8225588626311274,13.66434336445532
leadweek_2,1988,0.1280561012151669,0.9231895512075603,0.8211907449649944,13.7169200480385
leadweek_2,1989,0.1272183956628186,0.9230654272026843,0.8239137109548846,13.612076489739156
leadweek_3,1989,0.13618298831576564,0.9190753011666605,0.8083402104852956,14.20126768875322
