predicts,records,year,idJoin,hist,forecastData
2519.6765,2765.786714,2018,IND_100,1995,leadweek_9
2583.063,2327.087636,2018,IND_101,1995,leadweek_9
2637.1526,2490.202775,2018,IND_102,1995,leadweek_9
2502.632,3148.546584,2018,IND_103,1995,leadweek_9
2489.131,3618.289821,2018,IND_104,1995,leadweek_9
2468.7473,3135.030993,2018,IND_105,1995,leadweek_9
2376.4785,2900.503167,2018,IND_106,1995,leadweek_9
2569.7832,2810.33657,2018,IND_107,1995,leadweek_9
2982.402,3612.2003,2018,IND_108,1995,leadweek_9
2915.6694,2292.767568,2018,IND_109,1995,leadweek_9
2944.669,2400.585295,2018,IND_110,1995,leadweek_9
2762.857,2177.159914,2018,IND_111,1995,leadweek_9
3124.3103,2462.082912,2018,IND_112,1995,leadweek_9
2568.0315,2523.357841,2018,IND_114,1995,leadweek_9
3180.8958,4699.6337,2018,IND_115,1995,leadweek_9
2327.0852,1722.115997,2018,IND_116,1995,leadweek_9
2127.4895,1542.995382,2018,IND_125,1995,leadweek_9
1963.3828,1023.2324680000002,2018,IND_130,1995,leadweek_9
1999.6344,1376.933896,2018,IND_133,1995,leadweek_9
2734.2124,1515.890613,2018,IND_137,1995,leadweek_9
2296.485,749.9999999999998,2018,IND_14,1995,leadweek_9
2320.6682,2000.0,2018,IND_143,1995,leadweek_9
1895.1296,1180.069068,2018,IND_145,1995,leadweek_9
3042.8623,3031.051031,2018,IND_159,1995,leadweek_9
2918.7683,2695.377587,2018,IND_160,1995,leadweek_9
3097.331,3326.961397,2018,IND_161,1995,leadweek_9
3093.5469,3485.665311,2018,IND_162,1995,leadweek_9
2388.475,2155.833289,2018,IND_163,1995,leadweek_9
2216.602,1915.171419,2018,IND_164,1995,leadweek_9
1814.1388,2447.401892,2018,IND_165,1995,leadweek_9
2248.5532,2668.110315,2018,IND_166,1995,leadweek_9
2989.2092,3418.505338,2018,IND_168,1995,leadweek_9
2274.4883,2823.813355,2018,IND_169,1995,leadweek_9
3311.8325,4960.0,2018,IND_17,1995,leadweek_9
2370.7102,2364.102564,2018,IND_171,1995,leadweek_9
3203.4707,3252.522415,2018,IND_177,1995,leadweek_9
2508.6978,2897.125709,2018,IND_178,1995,leadweek_9
2525.243,3064.669771,2018,IND_179,1995,leadweek_9
2726.9524,3642.685851,2018,IND_180,1995,leadweek_9
2513.5789,2836.984608,2018,IND_181,1995,leadweek_9
2539.1458,3018.712955,2018,IND_182,1995,leadweek_9
2946.051,3824.471552,2018,IND_184,1995,leadweek_9
2795.5168,3677.951636,2018,IND_185,1995,leadweek_9
3235.1692,4654.425612,2018,IND_189,1995,leadweek_9
3177.8196,4453.333333,2018,IND_191,1995,leadweek_9
3454.2727,4266.802444,2018,IND_192,1995,leadweek_9
3109.064,4898.047722,2018,IND_193,1995,leadweek_9
3229.6792,4549.145299,2018,IND_195,1995,leadweek_9
3259.8052,4783.146067,2018,IND_197,1995,leadweek_9
3493.2192,4821.492007,2018,IND_198,1995,leadweek_9
3690.233,4832.373272,2018,IND_199,1995,leadweek_9
3529.81,5061.632238,2018,IND_200,1995,leadweek_9
3588.914,4923.295455,2018,IND_201,1995,leadweek_9
3508.712,5046.694406,2018,IND_202,1995,leadweek_9
3563.4539,5383.634431,2018,IND_203,1995,leadweek_9
3433.549,4914.69406,2018,IND_204,1995,leadweek_9
3533.8455,5185.053381,2018,IND_205,1995,leadweek_9
3387.2268,5069.944598,2018,IND_206,1995,leadweek_9
2785.3958,4324.531516,2018,IND_207,1995,leadweek_9
3223.9905,4626.436782,2018,IND_208,1995,leadweek_9
3054.0,3738.888889,2018,IND_209,1995,leadweek_9
3162.0542,4651.376147,2018,IND_210,1995,leadweek_9
3563.2437,2199.578477,2018,IND_213,1995,leadweek_9
2441.513,1309.641742,2018,IND_217,1995,leadweek_9
2273.7417,1242.822314,2018,IND_219,1995,leadweek_9
2681.4016,1192.887089,2018,IND_220,1995,leadweek_9
2869.677,2769.124472,2018,IND_239,1995,leadweek_9
3139.8762,2183.716034,2018,IND_240,1995,leadweek_9
2847.451,2163.817713,2018,IND_242,1995,leadweek_9
2802.0774,1710.028702,2018,IND_245,1995,leadweek_9
2871.8071,2320.003305,2018,IND_246,1995,leadweek_9
2737.865,2150.03522,2018,IND_247,1995,leadweek_9
2327.3276,2200.0,2018,IND_251,1995,leadweek_9
2337.791,2100.0,2018,IND_253,1995,leadweek_9
2734.5154,1557.154675,2018,IND_267,1995,leadweek_9
1579.4061,1514.294345,2018,IND_271,1995,leadweek_9
1874.2494,800.0,2018,IND_272,1995,leadweek_9
1690.8995,805.6265985,2018,IND_274,1995,leadweek_9
2286.0732,536.7197062,2018,IND_275,1995,leadweek_9
1594.7882,1317.869416,2018,IND_277,1995,leadweek_9
1410.0422,1132.653061,2018,IND_282,1995,leadweek_9
1688.1957,983.2471427,2018,IND_298,1995,leadweek_9
3276.9883,4264.020619,2018,IND_317,1995,leadweek_9
3009.6658,4222.01087,2018,IND_318,1995,leadweek_9
3195.714,3804.0,2018,IND_319,1995,leadweek_9
3239.1511,3943.953488,2018,IND_320,1995,leadweek_9
2628.0518,2823.016905,2018,IND_321,1995,leadweek_9
2285.7478,2500.977467,2018,IND_322,1995,leadweek_9
2943.793,3913.959391,2018,IND_323,1995,leadweek_9
2361.518,2880.011521,2018,IND_324,1995,leadweek_9
2430.4177,3433.992347,2018,IND_325,1995,leadweek_9
3113.861,3708.007117,2018,IND_326,1995,leadweek_9
3108.9768,3272.017293,2018,IND_327,1995,leadweek_9
2930.4119,4242.989571,2018,IND_328,1995,leadweek_9
2493.722,2649.104859,2018,IND_329,1995,leadweek_9
2000.0319,2592.982456,2018,IND_330,1995,leadweek_9
2970.0444,3212.985612,2018,IND_331,1995,leadweek_9
2829.7544,3500.0,2018,IND_332,1995,leadweek_9
3016.374,3604.010025,2018,IND_333,1995,leadweek_9
3100.8274,3900.0,2018,IND_334,1995,leadweek_9
2884.6753,3485.0,2018,IND_335,1995,leadweek_9
1927.8326,2182.165163,2018,IND_336,1995,leadweek_9
2736.438,3016.029116,2018,IND_337,1995,leadweek_9
1694.6134,2374.910223,2018,IND_338,1995,leadweek_9
3152.975,3579.981884,2018,IND_339,1995,leadweek_9
3230.7683,2920.0,2018,IND_340,1995,leadweek_9
3192.4265,4242.021759,2018,IND_341,1995,leadweek_9
